The Jungle Book | Adventure | Semua Umur | 105 menit | The Jungle Book berkisah tentang Mowgli (Neel Sethi), bocah yatim piatu yang dibesarkan di hutan di bawah asuhan Bagheera (Ben Kingsley) si macan kumbang dan Rakcha (Lupita Nyong'o) ibu sang serigala. Walaupun dia mencoba untuk hidup sebagai salah satu satwa liar, namun justru menjadi semakin jelas bahwa Mowgli selayaknya tinggal bersama manusia. Dengan bantuan beruang bernama Baloo (Bill Murray) dan Raja Louie (Christopher Walken) si raja kera, Mowgli menghadapi penjahat Shere Shan (Idris Elba) si harimau dan Kaa (Scarlett Johansson) si ular yang mengantarkan Mowgli pada keputusan apakah masa depannya adalah sebagai manusia di hutan atau di kota. | 25000 | 35000 |
The Huntsman | Action | Remaja | 114 menit | The Ice Queen (Emily Blunt), adik dari The Ratu Jahat (Charlize Theron), bergabung untuk menindas manusia dengan menggunakan kekuatan cermin ajaib yang mereka punya. Keduanya menyakini bahwa manusia telah melupakan arti rasa takut. Kakak beradik ini pun membawa rasa takut itu kembali ke bumi. Di tempat lain, seorang ksatria bernama Sara (Jessica Chastain) dan seorang pemburu (Chris Hemsworth) memutuskan untuk melawan teror kedua ratu jahat ini dan pasukannya. | 25000 | 35000 |
Eye In The Sky | Thriller | Dewasa | 102 menit | Eye in the Sky akan mengisahkan tentang sebuah operasi intelijen Drone militer yang bertugas mengawasi pergerakan teroris. Tujuan untuk menangkap pelaku bom bunuh diri menjadi sulit saat lokasi penangkapan yang akan dihancurkan ternyata terdapat anak kecil. Colonel Katherine Powell (Helen Miren) dihadapkan pada situasi yang sangat sulit. Selaku pimpinan operasi ia harus segera memutuskan, apakah menghancurkan persembunyian teroris saat ada anak kecil atau menundanya dengan resiko para pelaku bom bunuh diri telah berpencar untuk melakukan aksinya. | 25000 | 35000 |
Juara | Comedy | Remaja | 102 menit | Kisah tentang perjalanan “from zero to hero” seorang remaja bernama BISMA yang memiliki bakat ilmu beladiri dalam darahnya. Hanya saja bakat luar biasanya tidak pernah ia sadari karena ibunya – SARAH, selalu berusaha menjauhkan buah hatinya dari apa pun yang berhubungan dengan beladiri. Suatu hari Bisma jatuh hati pada BELLA – gadis tercantik di kampusnya yang menjadi incaran seorang mafia kecil bernama ATTAR. Tekanan dan pem-bully-an yang dilakukan ATTAR seakan membuat Bisma semakin tak berdaya walau ia sudah berusaha untuk tetap tegar bertahan, sampai seorang laki-laki dari masa lalu SARAH dan BISMA datang. | 20000 | 30000 |
Video Maut | Horror | Dewasa | 76 menit | Rencana DONI membawa kekasihnya, Maya kesebuah villa terpencil adalah untuk membuat video mereka berdua diranjang, dan menjualnya pada ALVIN untuk disebarkan di internet. Maya, gadis polos yang baru berpacaran dengan Doni, sama sekali tidak mengetahui hal ini. Tanpa sengaja ia membawa temannya, dan membuat Doni kesal, tapi ia tidak bisa berbuat apa-apa karena Maya tidak mau ikut bersama Doni jika tidak bersama temannya. Akhirnya Doni memutuskan untuk membuat masalah dengan teman-teman Maya, hingga mereka meninggalkan villa tersebut. Kini tinggalah Doni dan Maya disana, saat hari menjelang malam, Doni yang sudah menyiapkan camera tersembunyi mulai menjalankan rencananya. Ia mendekati Maya dan merayunya untuk mau tidur bersamanya, Maya berusaha menolak, tapi Doni mengikatnya dan mengatakan bahwa ia hanya ingin menikmati saat-saat bersama Maya. Maya tak bisa melawan Doni, dalam keadaan Maya yang terikat, saat Doni ingin mencium Maya tiba tiba ada bayangan berkelebat di nekat mereka. Keesokan harinya, beredar kabar tentang kematian aneh yang dialami oleh Doni, dan Maya yang sudah gila. Begitu Alvin mengetahui hal ini, ia segera mendatangi lokasi tempat kejadian, dan dari seorang polisi yang ia mengetahui bahwa Doni memiliki camera tersembunyi tapi tanpa kaset/CD. Alvin pun shock mengetahui hal ini, ia pun berusaha mencari kaset camera tersebut. Beberapa hari kemudian, sebuah layanan website video sharing digemparkan oleh video Doni dan Maya yang sudah beredar luar. Alvin pun mendengar tentang berita ini, tapi selain itu ia juga mendengar bahwa siapapun yang sudah menonton rekaman video Doni dan Maya ditemukan mati. Dan ada beberapa yang mengatakan bahwa mereka mati karena dibunuh oleh hantu yang terekam dalam camera. Hal ini membuat Alvin tidak mau melihat video yang sudah diunggah ke website tersebut. Dapatkah polisi mengungkap kasus ini? Saksikan hanya di bioskop mulai tanggal 14 April 2016. | 20000 | 30000 |
Kalam Kalam Langit | Drama | Semua Umur | 100 menit | Bagaimana Ja'far kecil hingga dewasa memperjuangkan cita-cita dan Cintanya, ditengah kehidupan pondok pesantren dengan beragam karakter penghuninya. Ternyata santri pun manusia, ada saja yang nyeleneh, tega menyuap demi popularitas dan menggapai tujuannya sebagai juara MTQ. Penasaran bagaimana Ja'far akhirnya berhasil meraih cita-cita, meskipun harus kehilangan muslimah yang di cintainya? Dan siapakan muslimah beruntung yang berhasil mendapatkan cinta Ja'far? | 20000 | 30000 |
10 Cloverfield Lane | Horror | Dewasa | 103 menit | Seorang wanita muda (Mary Elizabeth Winstead) tersadar berada di gudang bawah tanah setelah ia mengalami kecelakaan mobil yang cukup parah. The Man (John Goodman) yang mengklaim telah menyelamatkannya dari bencana serangan kimia dunia luar dimana sudah tidak layak huni. Sang wanita meragukan hal tersebut dan berusaha melarikan diri meski apa yang mungkin mengintainya dari dinding luar gudang tersebut. | 25000 | 30000 |
Get Up Stand Up | Drama | Dewasa | 100 menit | Babe dan Abdur akhirnya bersahabat, bahkan keduanya masuk didalam Kompetisi bergengsi Stand Up Comedy Indonesia. Materi-materi Abdur ternyata membuat Fatiya jatuh hati padanya. Dan tanpa diduga, Abdur pun juga jatuh hati pada Fatiya dan keduanya akhirnya berpacaran. Babe yang mengetahui hal itu sangat terluka hatinya. Babe mengatakan bahwa Abdur adalah pengkhianat dan teman makan teman. Keduanya pun berkelahi dan memutuskan tali persahabatan. Hal ini membuat Fatiya putus asa. Dalam keputus asaan ini, Fatiya, Babe dan Abdur tetap harus memilih agar hidup dan tujuan terus berjalan. Namun apakah keputusan ketiganya bisa berjalan baik? Dan dapatkah ketiga mencapai tujuan? | 20000 | 30000 |
13 Hours: The Secret Soldiers Of Benghazi | Action | Dewasa | 144 menit | Sekelompok mantan pasukan elit yang disewa oleh CIA dikirim ke lokasi serangan untuk mempertahankan properti Amerika dan meredam kekacauan di Libya. Ketegangan menyelimuti pasukan elit ini saat mereka mempertahankan diri dari serbuan para teroris. | 25000 | 35000 |
The Young Messiah | Drama | Semua Umur | 111 menit | Diangkat dari novel karya Anne Rice berjudul Christ the Lord: Out of Egypt. The Young Messiah akan menggambarkan masa kecil Jesus yang tinggal bersama keluarganya di Mesir. Mereka memutuskan untuk tinggal di Mesir setelah menghindari pembantaian anak-anak kecil yang terjadi di Israel. Pasca raja Herod meningal, Jesus dan keluarganya memutuskan untuk kembali ke Israel. Namun ancaman kembali datang lewat anak raja Herod yang berusaha kembali membunuh Jesus. | 25000 | 35000 |
The Bodyguard | Action | Dewasa | 97 menit | The Bodyguard berkisah tentang seorang pensiunan pengawal atau biasa disebut bodyguard (Sammo Hung). Kini dia tinggal di sebuah kota kecil di dekat perbatasan Russia-China. Dia berteman dengan seorang gadis kecil, sang gadis kecil yang memiliki seorang ayah (Andy Lau) yang masuk ke dalam dunia kejahatan. Ketika sang gadis kecil dan ayahnya menghilang, sang mantan pengawal / bodyguard tersebut mencoba mencari kebenaran untuk mengungkap kejahatan dan menolong sang gadis kecil dan ayahnya. | 25000 | 35000 |
